date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-04-09,Logistics,Cold Chain Manager,Đồng Nai,107,12630.11,3.36,Junior,14,"Power BI, Freight Forwarding, Route Optimization, ERP Systems, Supply Chain Management",Medium,High,46.4,Stable
2022-04-10,Logistics,Cold Chain Manager,TP.HCM,104,7153.57,4.17,Fresher,25,"IoT Tracking, Python, Last-Mile Logistics, Power BI",High,High,69.9,Growing
2022-04-15,Logistics,Supply Chain Analyst,Bình Dương,96,25815.41,8.64,Senior,22,"Freight Forwarding, ERP Systems",Medium,Low,50.2,Stable
2022-04-17,Logistics,Fleet Operations Manager,Hải Phòng,95,24813.57,8.14,Senior,5,"Route Optimization, Excel, Power BI",Low,Medium,52.1,Growing
2022-04-18,Logistics,3PL Account Manager,Đồng Nai,83,6592.51,5.55,Fresher,1,"SAP WMS, Freight Forwarding, SQL, Excel",Low,High,56.3,Stable
2022-04-18,Logistics,Transportation Engineer,Đồng Nai,92,9896.58,3.8,Junior,13,"ERP Systems, Last-Mile Logistics",Medium,Medium,62.2,Stable
2022-04-20,Logistics,Freight Broker,Bình Dương,87,3774.44,8.45,Fresher,23,"Python, SAP WMS, Supply Chain Management, Route Optimization, Freight Forwarding",Low,High,59.2,Growing
2022-04-20,Logistics,3PL Account Manager,Hải Phòng,93,21204.23,2.83,Senior,9,"ERP Systems, Last-Mile Logistics, Power BI, Customs",Low,High,42.1,Growing
2022-04-21,Logistics,Supply Chain Analyst,Cần Thơ,118,16200.1,2.02,Junior,3,"Excel, Power BI, Customs, Supply Chain Management, SAP WMS",High,High,62.3,Declining
2022-04-23,Logistics,Cold Chain Manager,Bình Dương,91,4552.52,7.91,Fresher,27,"Python, Freight Forwarding, SQL, IoT Tracking",Low,High,42.5,Stable
2022-04-23,Logistics,3PL Account Manager,Bình Dương,95,13122.89,4.42,Junior,0,"Customs, Negotiation, Last-Mile Logistics, Freight Forwarding",Medium,Low,58.7,Stable
2022-04-23,Logistics,Transportation Engineer,Hải Phòng,89,24640.97,7.31,Senior,7,"Customs, Cold Chain",Medium,High,43.1,Declining
2022-04-25,Logistics,Transportation Engineer,Đà Nẵng,86,24524.14,9.26,Senior,7,"Python, Cold Chain, IoT Tracking, SQL, Negotiation",Medium,High,61.7,Growing
2022-04-26,Logistics,Transportation Engineer,Cần Thơ,93,8612.34,7.83,Fresher,9,"Negotiation, SAP WMS, Customs, SQL",High,High,65.7,Declining
2022-04-27,Logistics,Freight Broker,Đà Nẵng,99,24378.99,8.84,Senior,2,"Cold Chain, Last-Mile Logistics, SQL, Negotiation, SAP WMS",Medium,Medium,58.9,Growing
2022-04-30,Logistics,Logistics Coordinator,Bình Dương,93,24266.05,3.6,Senior,0,"Supply Chain Management, ERP Systems, SAP WMS",Medium,Medium,38.8,Stable
2022-05-01,Logistics,Procurement Specialist,Cần Thơ,94,8111.35,9.9,Fresher,29,"Freight Forwarding, Route Optimization, SAP WMS",Medium,Medium,42.6,Growing
2022-05-02,Logistics,Fleet Operations Manager,Bình Dương,93,9299.07,6.98,Fresher,3,"Supply Chain Management, SQL",Low,Medium,44.1,Growing
2022-05-05,Logistics,Last-Mile Delivery Specialist,Đồng Nai,94,27240.05,9.29,Senior,17,"Excel, SAP WMS, Supply Chain Management, Power BI, Freight Forwarding",Medium,High,53.1,Growing
2022-05-07,Logistics,Fleet Operations Manager,Cần Thơ,92,13872.1,9.71,Junior,4,"Freight Forwarding, Last-Mile Logistics, Customs",Low,High,39.1,Growing
2022-05-12,Logistics,Transportation Engineer,Đồng Nai,88,5519.25,3.82,Fresher,28,"Customs, SQL, Python",Medium,High,69.7,Stable
2022-05-13,Logistics,3PL Account Manager,Hà Nội,95,13391.76,8.24,Junior,29,"Route Optimization, Cold Chain, SQL, Excel",High,Low,43.4,Stable
2022-05-14,Logistics,Customs Officer,Đồng Nai,97,11988.1,8.42,Junior,10,"IoT Tracking, ERP Systems, Last-Mile Logistics, SAP WMS, Python",Medium,Medium,50.9,Stable
2022-05-19,Logistics,Customs Officer,Hải Phòng,92,27917.28,2.64,Senior,21,"Negotiation, Cold Chain",Medium,Medium,51.2,Growing
2022-05-24,Logistics,3PL Account Manager,Đà Nẵng,90,18294.49,8.37,Junior,3,"SAP WMS, Last-Mile Logistics, Customs",Medium,High,36.9,Declining
2022-05-25,Logistics,Cold Chain Manager,Đồng Nai,110,4765.14,6.07,Fresher,16,"SQL, Cold Chain, Route Optimization",Low,Low,39.1,Declining
2022-05-26,Logistics,3PL Account Manager,Bình Dương,95,6128.5,8.44,Fresher,27,"IoT Tracking, Freight Forwarding, Cold Chain",Medium,High,42.6,Growing
2022-05-28,Logistics,3PL Account Manager,TP.HCM,88,28621.84,7.74,Senior,30,"ERP Systems, SQL",Medium,High,58.6,Declining
2022-05-30,Logistics,Warehouse Manager,Đồng Nai,100,20525.3,5.78,Senior,8,"Freight Forwarding, SQL, SAP WMS",Medium,Medium,42.0,Growing
2022-06-01,Logistics,Fleet Operations Manager,Hà Nội,104,13550.21,3.22,Junior,15,"ERP Systems, Freight Forwarding, Negotiation, SQL",Low,Low,40.5,Stable
2022-06-05,Logistics,Logistics Coordinator,Bình Dương,102,16313.91,2.24,Junior,24,"Route Optimization, Freight Forwarding, IoT Tracking",Low,Medium,41.1,Declining
2022-06-05,Logistics,Freight Broker,Bình Dương,100,6573.79,8.48,Fresher,27,"Negotiation, Last-Mile Logistics",High,Low,50.7,Stable
2022-06-06,Logistics,Transportation Engineer,Hà Nội,97,13805.73,7.62,Junior,5,"Cold Chain, SQL, Customs, IoT Tracking",Low,Medium,38.6,Growing
2022-06-08,Logistics,Supply Chain Analyst,Cần Thơ,91,7209.3,2.61,Fresher,15,"Excel, IoT Tracking, ERP Systems, Route Optimization, Cold Chain",High,Medium,51.8,Growing
2022-06-09,Logistics,Last-Mile Delivery Specialist,Đà Nẵng,98,11038.35,5.39,Junior,4,"Negotiation, IoT Tracking, SAP WMS, Python, Freight Forwarding",Medium,Medium,49.0,Growing
2022-06-10,Logistics,Warehouse Manager,Đồng Nai,93,27258.35,3.58,Senior,15,"Excel, ERP Systems",High,Low,54.0,Stable
2022-06-11,Logistics,Freight Broker,TP.HCM,114,25384.43,2.77,Senior,4,"Route Optimization, Excel",Medium,High,69.6,Growing
2022-06-11,Logistics,Freight Broker,Cần Thơ,87,6420.2,3.67,Fresher,13,"SAP WMS, Negotiation, Python, Last-Mile Logistics",Medium,Medium,49.8,Stable
2022-06-11,Logistics,Logistics Coordinator,Đà Nẵng,83,7325.27,6.28,Fresher,25,"Negotiation, Python, Customs",High,Medium,67.1,Growing
2022-06-12,Logistics,Logistics Coordinator,Bình Dương,115,5393.43,9.37,Fresher,5,"ERP Systems, Customs, Last-Mile Logistics, Route Optimization",High,Low,44.0,Stable
2022-06-13,Logistics,Procurement Specialist,TP.HCM,104,5914.94,6.07,Fresher,1,"Route Optimization, Supply Chain Management, Last-Mile Logistics, Power BI, Cold Chain",Medium,High,51.4,Growing
2022-06-14,Logistics,Fleet Operations Manager,Đà Nẵng,95,11899.47,5.42,Junior,17,"SAP WMS, Cold Chain, Negotiation, Power BI, Python",High,Low,65.5,Stable
2022-06-15,Logistics,Transportation Engineer,Hà Nội,91,13729.07,7.58,Junior,6,"ERP Systems, SAP WMS, Negotiation",Medium,High,61.6,Declining
2022-06-21,Logistics,Fleet Operations Manager,Bình Dương,89,23557.07,2.49,Senior,29,"Power BI, Python",Medium,Medium,54.3,Stable
2022-06-22,Logistics,Customs Officer,Đồng Nai,93,13093.73,9.27,Junior,13,"Last-Mile Logistics, Supply Chain Management, Customs, Route Optimization",Medium,Medium,63.5,Growing
2022-06-24,Logistics,Transportation Engineer,Cần Thơ,102,24299.84,9.99,Senior,27,"ERP Systems, Python",Medium,Medium,60.6,Growing
2022-06-28,Logistics,Logistics Coordinator,Cần Thơ,89,23458.88,5.71,Senior,5,"Cold Chain, IoT Tracking, Last-Mile Logistics, Customs, Supply Chain Management",Medium,Medium,58.9,Declining
2022-06-30,Logistics,Transportation Engineer,Cần Thơ,104,12327.09,7.39,Junior,11,"SQL, ERP Systems, Freight Forwarding, IoT Tracking, Python",Medium,Medium,56.4,Stable
2022-07-01,Logistics,Customs Officer,Cần Thơ,108,11169.35,2.96,Fresher,27,"Supply Chain Management, ERP Systems, Cold Chain, Route Optimization",Medium,High,69.3,Declining
2022-07-02,Logistics,Transportation Engineer,Hải Phòng,98,26467.03,6.56,Senior,20,"Route Optimization, Last-Mile Logistics, Supply Chain Management, Freight Forwarding, Python",Medium,Medium,53.1,Stable
2022-07-02,Logistics,Warehouse Manager,Cần Thơ,86,5148.22,6.77,Fresher,19,"Power BI, Freight Forwarding, SAP WMS, SQL",Low,High,44.4,Growing
2022-07-03,Logistics,Freight Broker,Hải Phòng,90,5466.22,8.62,Fresher,5,"Customs, Python",Low,High,55.6,Growing
2022-07-10,Logistics,Cold Chain Manager,Cần Thơ,75,3626.47,7.53,Fresher,12,"Cold Chain, Freight Forwarding",Medium,Low,39.9,Declining
2022-07-11,Logistics,Procurement Specialist,Đồng Nai,87,15677.64,3.57,Junior,17,"SAP WMS, Excel, Last-Mile Logistics, Customs, SQL",Low,High,59.4,Growing
2022-07-11,Logistics,Last-Mile Delivery Specialist,Đồng Nai,101,26470.15,9.11,Senior,20,"SQL, Customs, Power BI, Route Optimization, Freight Forwarding",Medium,Medium,51.0,Stable
2022-07-13,Logistics,Warehouse Manager,Hải Phòng,88,5066.59,9.52,Fresher,17,"SQL, Power BI, IoT Tracking",High,Medium,65.4,Declining
2022-07-15,Logistics,Logistics Coordinator,Đồng Nai,91,12925.36,6.35,Junior,5,"Python, Cold Chain, Last-Mile Logistics, Freight Forwarding, IoT Tracking",Medium,Medium,64.3,Stable
2022-07-15,Logistics,Last-Mile Delivery Specialist,Cần Thơ,113,25660.47,7.07,Senior,11,"Power BI, Last-Mile Logistics",High,Medium,49.4,Stable
2022-07-17,Logistics,Supply Chain Analyst,Đà Nẵng,95,13817.52,7.29,Junior,19,"SAP WMS, Customs, ERP Systems",Low,High,55.7,Growing
2022-07-19,Logistics,Warehouse Manager,Cần Thơ,96,25481.14,8.65,Senior,29,"Supply Chain Management, Python, Route Optimization, ERP Systems, Excel",Medium,High,46.4,Stable
2022-07-20,Logistics,Customs Officer,Đà Nẵng,114,18274.36,4.58,Junior,3,"SAP WMS, IoT Tracking, ERP Systems, Python",Low,High,43.3,Growing
2022-07-21,Logistics,Transportation Engineer,Đồng Nai,111,24233.95,7.03,Senior,25,"SAP WMS, Excel, Last-Mile Logistics, Freight Forwarding",Low,High,40.3,Growing
2022-07-22,Logistics,Cold Chain Manager,TP.HCM,89,25734.35,7.62,Senior,0,"Route Optimization, ERP Systems",High,High,52.8,Growing
2022-07-23,Logistics,Freight Broker,TP.HCM,98,22819.61,4.25,Senior,6,"IoT Tracking, Power BI, Cold Chain, Excel",High,High,60.8,Growing
2022-07-24,Logistics,Last-Mile Delivery Specialist,Đà Nẵng,93,25166.44,7.5,Senior,20,"IoT Tracking, Negotiation, Python, SAP WMS",Low,High,46.2,Growing
2022-07-25,Logistics,Warehouse Manager,Cần Thơ,106,13448.12,6.29,Junior,30,"SQL, SAP WMS, IoT Tracking",Medium,Medium,60.2,Growing
2022-07-26,Logistics,3PL Account Manager,Cần Thơ,89,8226.9,3.6,Fresher,3,"Freight Forwarding, Customs, Negotiation, SAP WMS, ERP Systems",High,Medium,44.2,Stable
2022-07-31,Logistics,Warehouse Manager,Hà Nội,97,13799.39,7.59,Junior,8,"Customs, Negotiation, Cold Chain, Freight Forwarding, Supply Chain Management",Low,Low,60.6,Stable
2022-08-05,Logistics,Freight Broker,Cần Thơ,104,15197.16,5.37,Junior,24,"Python, Power BI, Last-Mile Logistics, Cold Chain",Medium,Low,44.2,Growing
2022-08-05,Logistics,Freight Broker,Đồng Nai,98,7276.85,2.71,Fresher,9,"Route Optimization, Python, Customs, Freight Forwarding",Medium,High,64.7,Growing
2022-08-06,Logistics,3PL Account Manager,Hà Nội,97,13939.89,9.92,Junior,12,"Cold Chain, SQL, Route Optimization",Medium,Low,51.2,Stable
2022-08-07,Logistics,3PL Account Manager,Cần Thơ,84,11333.41,6.74,Fresher,12,"ERP Systems, Excel",Medium,High,45.8,Growing
2022-08-08,Logistics,Transportation Engineer,Bình Dương,97,15586.5,8.65,Junior,19,"Route Optimization, SQL, Freight Forwarding, Excel",Medium,Medium,63.5,Stable
2022-08-09,Logistics,Fleet Operations Manager,Hải Phòng,105,12229.81,8.62,Junior,27,"ERP Systems, Freight Forwarding",Low,Medium,65.6,Growing
2022-08-11,Logistics,Warehouse Manager,Hải Phòng,112,9713.55,8.82,Junior,4,"SQL, Supply Chain Management, Excel, Negotiation, Cold Chain",Low,High,58.5,Declining
2022-08-13,Logistics,Fleet Operations Manager,Bình Dương,89,14305.81,3.07,Junior,12,"Excel, Python, Cold Chain, Freight Forwarding",Low,High,61.6,Growing
2022-08-13,Logistics,Fleet Operations Manager,Hải Phòng,93,10066.58,2.67,Fresher,17,"Negotiation, Last-Mile Logistics, Route Optimization, Python, Customs",High,High,65.5,Growing
2022-08-13,Logistics,Logistics Coordinator,Cần Thơ,110,10376.8,6.24,Fresher,19,"Negotiation, Route Optimization, IoT Tracking",Medium,Medium,41.7,Declining
2022-08-14,Logistics,Logistics Coordinator,Cần Thơ,96,14381.85,8.32,Junior,29,"Freight Forwarding, Last-Mile Logistics, ERP Systems",Low,Medium,36.0,Growing
2022-08-15,Logistics,Logistics Coordinator,Đồng Nai,106,10561.13,4.78,Fresher,18,"Cold Chain, Power BI, ERP Systems, IoT Tracking",Low,Medium,44.7,Stable
2022-08-15,Logistics,Fleet Operations Manager,Cần Thơ,112,13792.87,4.93,Junior,12,"Route Optimization, Cold Chain, SQL",Medium,High,57.1,Growing
2022-08-18,Logistics,Procurement Specialist,Cần Thơ,101,11849.53,4.2,Junior,14,"Route Optimization, Python",Medium,Low,69.4,Growing
2022-08-20,Logistics,Supply Chain Analyst,Bình Dương,98,15722.7,5.8,Junior,20,"SQL, Customs, Last-Mile Logistics, Freight Forwarding",Medium,Low,62.2,Stable
2022-08-21,Logistics,Customs Officer,Bình Dương,101,6801.03,7.56,Fresher,19,"Cold Chain, Power BI",Medium,Medium,36.0,Growing
2022-08-22,Logistics,Customs Officer,TP.HCM,118,10471.51,3.67,Fresher,8,"Route Optimization, Customs, Excel, SAP WMS, Negotiation",Medium,Medium,45.4,Stable
2022-08-23,Logistics,Fleet Operations Manager,Hải Phòng,99,12059.19,9.03,Junior,20,"Supply Chain Management, Excel, Freight Forwarding, Cold Chain",Low,High,64.6,Stable
2022-08-27,Logistics,Supply Chain Analyst,Đồng Nai,106,26824.67,8.39,Senior,0,"Last-Mile Logistics, ERP Systems, SQL, Cold Chain, SAP WMS",Low,Medium,52.7,Growing
2022-08-29,Logistics,Fleet Operations Manager,Đà Nẵng,108,7993.29,3.66,Fresher,26,"Route Optimization, Negotiation, Freight Forwarding, Excel, Last-Mile Logistics",High,High,54.1,Stable
2022-08-29,Logistics,Fleet Operations Manager,Đồng Nai,97,7244.67,6.84,Fresher,20,"SQL, Python, Customs, Excel, Negotiation",Medium,High,69.5,Declining
2022-09-02,Logistics,Fleet Operations Manager,Đồng Nai,92,24543.86,7.11,Senior,30,"IoT Tracking, Negotiation",Low,High,54.7,Growing
2022-09-04,Logistics,Freight Broker,Hải Phòng,99,28284.74,5.08,Senior,14,"Negotiation, SQL, SAP WMS, Excel, Freight Forwarding",Medium,High,53.2,Growing
2022-09-04,Logistics,Last-Mile Delivery Specialist,Hà Nội,109,27298.98,4.5,Senior,22,"Customs, Supply Chain Management",Medium,Medium,35.8,Stable
2022-09-06,Logistics,Procurement Specialist,TP.HCM,87,11290.13,8.36,Junior,8,"Last-Mile Logistics, Freight Forwarding, Excel, Route Optimization",High,Medium,45.2,Stable
2022-09-06,Logistics,Warehouse Manager,Đà Nẵng,100,25024.11,8.62,Senior,6,"Excel, Route Optimization, ERP Systems, Cold Chain",Medium,High,44.7,Stable
2022-09-13,Logistics,Warehouse Manager,Hà Nội,93,26762.39,6.08,Senior,11,"ERP Systems, Excel, Negotiation",Medium,Low,65.7,Stable
2022-09-14,Logistics,Logistics Coordinator,TP.HCM,91,6610.12,2.28,Fresher,0,"Excel, Supply Chain Management, Route Optimization",Low,High,40.9,Declining
2022-09-16,Logistics,Logistics Coordinator,Đà Nẵng,104,4234.76,7.58,Fresher,8,"Cold Chain, IoT Tracking, Last-Mile Logistics",High,High,38.6,Growing
2022-09-21,Logistics,Cold Chain Manager,Bình Dương,102,23721.5,3.9,Senior,2,"Freight Forwarding, Cold Chain, Last-Mile Logistics, Power BI",Medium,Medium,37.2,Stable
2022-09-21,Logistics,Procurement Specialist,Đà Nẵng,106,10643.75,2.62,Fresher,12,"Negotiation, ERP Systems",High,High,55.9,Declining
2022-09-21,Logistics,Freight Broker,Hải Phòng,113,22504.97,5.53,Senior,20,"Last-Mile Logistics, Power BI, Cold Chain, Freight Forwarding",Medium,High,41.6,Declining
2022-09-23,Logistics,Customs Officer,Cần Thơ,92,7224.45,7.11,Fresher,29,"SAP WMS, Customs, Excel, Supply Chain Management, Cold Chain",High,High,48.8,Stable
2022-09-28,Logistics,Procurement Specialist,Hà Nội,105,13923.17,3.45,Junior,19,"Route Optimization, Power BI, Freight Forwarding",Medium,High,38.3,Declining
2022-10-10,Logistics,Last-Mile Delivery Specialist,Bình Dương,109,25512.04,2.94,Senior,19,"Last-Mile Logistics, Cold Chain",Medium,High,70.0,Growing
2022-10-11,Logistics,Last-Mile Delivery Specialist,Cần Thơ,106,14690.84,7.22,Junior,24,"Python, Excel, Customs, Last-Mile Logistics",Medium,Medium,67.6,Stable
2022-10-12,Logistics,Warehouse Manager,Hà Nội,107,13820.13,9.98,Junior,9,"Freight Forwarding, Power BI, Excel",Low,Low,50.7,Stable
2022-10-13,Logistics,Supply Chain Analyst,Hà Nội,92,7771.53,8.39,Fresher,22,"Python, Power BI, Excel, SQL, ERP Systems",Low,High,64.6,Declining
2022-10-15,Logistics,Cold Chain Manager,TP.HCM,89,10269.16,3.36,Fresher,24,"Cold Chain, Customs, IoT Tracking, SAP WMS",Medium,Medium,36.6,Stable
2022-10-15,Logistics,Warehouse Manager,TP.HCM,115,23336.77,8.89,Senior,27,"Python, Last-Mile Logistics, Route Optimization",Low,High,66.3,Stable
2022-10-19,Logistics,Freight Broker,Đồng Nai,98,7957.4,5.05,Fresher,24,"SQL, Python, Excel, ERP Systems",Medium,Low,41.6,Growing
2022-10-19,Logistics,Last-Mile Delivery Specialist,Đồng Nai,99,26558.11,2.36,Senior,1,"Last-Mile Logistics, Customs, Cold Chain",Low,High,53.6,Growing
2022-10-20,Logistics,Supply Chain Analyst,Hà Nội,114,15445.34,5.42,Junior,22,"ERP Systems, IoT Tracking",Medium,High,64.6,Declining
2022-10-24,Logistics,Warehouse Manager,Hà Nội,108,25053.06,7.4,Senior,23,"Freight Forwarding, Excel",Low,High,52.3,Stable
2022-10-26,Logistics,Freight Broker,Đà Nẵng,120,9548.6,9.88,Fresher,8,"SQL, Negotiation, Python, Route Optimization, Supply Chain Management",Medium,Medium,63.6,Declining
2022-10-28,Logistics,Supply Chain Analyst,Đồng Nai,103,9389.64,7.77,Fresher,17,"IoT Tracking, SQL, Route Optimization",High,High,68.7,Stable
2022-10-29,Logistics,Cold Chain Manager,Cần Thơ,111,7743.43,5.4,Fresher,7,"Negotiation, SAP WMS, Supply Chain Management, Python, ERP Systems",Medium,High,68.8,Growing
2022-10-29,Logistics,Fleet Operations Manager,TP.HCM,100,26694.18,8.0,Senior,23,"IoT Tracking, ERP Systems, SAP WMS, Python",Low,Medium,35.7,Stable
2022-11-01,Logistics,Cold Chain Manager,Hải Phòng,102,23510.32,7.31,Senior,18,"Supply Chain Management, Negotiation",Medium,High,53.6,Declining
2022-11-03,Logistics,Last-Mile Delivery Specialist,Cần Thơ,100,8266.82,6.05,Fresher,12,"Route Optimization, IoT Tracking, Excel, Supply Chain Management",Low,High,67.8,Growing
2022-11-04,Logistics,Cold Chain Manager,TP.HCM,135,13265.87,3.0,Junior,17,"Customs, Python",High,Low,65.5,Growing
2022-11-05,Logistics,3PL Account Manager,TP.HCM,100,29355.69,4.81,Senior,14,"Route Optimization, SAP WMS, Supply Chain Management",Low,Medium,39.2,Growing
2022-11-06,Logistics,Supply Chain Analyst,Đồng Nai,85,13697.17,5.01,Junior,23,"Freight Forwarding, Power BI",High,Medium,42.8,Stable
2022-11-07,Logistics,Logistics Coordinator,Hà Nội,106,11830.61,8.22,Junior,28,"Python, Power BI, ERP Systems, Excel",Medium,Medium,65.0,Growing
2022-11-08,Logistics,3PL Account Manager,Hà Nội,110,13969.3,6.1,Junior,26,"Excel, Supply Chain Management, Cold Chain, ERP Systems",Low,High,63.8,Stable
2022-11-08,Logistics,Customs Officer,Hà Nội,100,29054.68,7.25,Senior,19,"Last-Mile Logistics, Power BI, Route Optimization, Python, Cold Chain",High,Medium,56.5,Growing
2022-11-09,Logistics,Freight Broker,Cần Thơ,102,15715.98,9.09,Junior,18,"Excel, SAP WMS, Last-Mile Logistics",Medium,Medium,66.9,Growing
2022-11-11,Logistics,Fleet Operations Manager,Hà Nội,106,25120.67,4.66,Senior,11,"SAP WMS, Route Optimization, SQL, Excel",Low,Medium,50.4,Growing
2022-11-12,Logistics,Fleet Operations Manager,Bình Dương,108,12901.69,3.45,Junior,27,"Python, Excel",High,Medium,55.4,Stable
2022-11-13,Logistics,Supply Chain Analyst,Hà Nội,103,28316.0,4.32,Senior,13,"Excel, Python, ERP Systems",Medium,Medium,65.6,Growing
2022-11-13,Logistics,Supply Chain Analyst,Đà Nẵng,120,23405.72,7.82,Senior,18,"ERP Systems, IoT Tracking",High,Low,37.7,Stable
