date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-02-11,Retail & E-Commerce,Performance Marketing Manager,Đà Nẵng,97,13707.92,4.91,Junior,55,"Google Analytics, Email Marketing, SEM, Facebook Ads",High,High,79.7,Declining
2022-02-12,Retail & E-Commerce,Growth Hacker,Hải Phòng,96,10461.06,8.22,Junior,41,"Tableau, Email Marketing, SEM, A/B Testing, Python",Medium,Medium,44.9,Growing
2022-02-12,Retail & E-Commerce,Performance Marketing Manager,Đà Nẵng,108,18485.61,12.07,Junior,44,"Customer Journey, Email Marketing, Excel, Tableau, SEM, Facebook Ads",Medium,High,53.8,Declining
2022-02-13,Retail & E-Commerce,Digital Marketing Specialist,TP.HCM,101,32191.58,6.02,Senior,58,"Shopify, Excel, Customer Journey, Email Marketing, A/B Testing, Supply Chain",Medium,High,57.3,Growing
2022-02-14,Retail & E-Commerce,CRM Specialist,Bình Dương,109,28909.62,3.08,Senior,48,"Inventory Management, Google Analytics, Tableau",Low,Medium,43.4,Growing
2022-02-18,Retail & E-Commerce,UX Designer,Đồng Nai,98,12799.17,6.3,Junior,29,"Inventory Management, Facebook Ads, Python, SQL, Supply Chain, Excel",High,Medium,78.1,Stable
2022-02-18,Retail & E-Commerce,Merchandising Analyst,Hải Phòng,113,4697.96,12.93,Fresher,35,"Google Analytics, Excel, CRM",Medium,High,77.5,Stable
2022-02-21,Retail & E-Commerce,Digital Marketing Specialist,Hải Phòng,94,32622.97,4.26,Senior,29,"Inventory Management, Tableau, Customer Journey, Supply Chain, Email Marketing",Low,Medium,46.8,Growing
2022-02-22,Retail & E-Commerce,Customer Success Manager,Bình Dương,97,28368.07,3.86,Senior,55,"SQL, Facebook Ads, SEO, A/B Testing, Supply Chain",Low,Medium,70.7,Growing
2022-02-25,Retail & E-Commerce,CRM Specialist,Hà Nội,97,14826.55,9.42,Junior,34,"Inventory Management, SQL, SEM",Medium,High,68.8,Stable
2022-02-26,Retail & E-Commerce,E-Commerce Manager,Hải Phòng,99,15751.8,12.27,Junior,31,"Shopify, Customer Journey, Inventory Management, A/B Testing, Google Analytics",High,High,72.1,Growing
2022-02-26,Retail & E-Commerce,Merchandising Analyst,TP.HCM,113,31402.91,9.0,Senior,52,"A/B Testing, SQL, Inventory Management",High,Low,79.1,Stable
2022-02-26,Retail & E-Commerce,CRM Specialist,Hà Nội,103,16236.22,4.7,Junior,38,"SEO, Python, Tableau",Medium,High,40.8,Stable
2022-03-01,Retail & E-Commerce,Merchandising Analyst,TP.HCM,103,13005.21,9.75,Junior,54,"SEO, SEM, Supply Chain, Google Analytics, Customer Journey, A/B Testing",High,High,40.6,Stable
2022-03-02,Retail & E-Commerce,Store Operations Manager,Hà Nội,137,7803.02,4.61,Fresher,67,"Tableau, Inventory Management, Shopify, Supply Chain",Medium,High,57.5,Growing
2022-03-04,Retail & E-Commerce,Data Analyst - Retail,TP.HCM,96,4801.56,3.12,Fresher,45,"SEO, Shopify, Customer Journey, Facebook Ads, Python, SEM",Medium,High,51.3,Growing
2022-03-06,Retail & E-Commerce,Digital Marketing Specialist,Hà Nội,109,15350.56,7.22,Junior,32,"Supply Chain, SEM",Medium,Medium,45.7,Stable
2022-03-06,Retail & E-Commerce,Merchandising Analyst,Bình Dương,99,4610.94,9.6,Fresher,24,"Tableau, Email Marketing, Shopify",Medium,High,48.0,Stable
2022-03-08,Retail & E-Commerce,Store Operations Manager,Hà Nội,88,29400.82,3.5,Senior,63,"Supply Chain, Excel, SEM, Google Analytics, Shopify, SQL",High,Low,55.8,Declining
2022-03-10,Retail & E-Commerce,Customer Success Manager,Hà Nội,100,16517.58,4.47,Junior,31,"Shopify, SEO",Medium,Medium,44.7,Growing
2022-03-10,Retail & E-Commerce,CRM Specialist,Đồng Nai,105,29039.41,7.13,Senior,51,"Customer Journey, Facebook Ads, Google Analytics, Email Marketing, Inventory Management",High,Medium,56.8,Growing
2022-03-10,Retail & E-Commerce,Digital Marketing Specialist,Hải Phòng,105,7634.36,10.35,Fresher,50,"Customer Journey, Python, SQL",Low,High,58.3,Growing
2022-03-12,Retail & E-Commerce,CRM Specialist,Hà Nội,115,9094.75,8.8,Fresher,27,"Customer Journey, Facebook Ads, Email Marketing, Excel, SEO, Python",High,High,48.9,Stable
2022-03-12,Retail & E-Commerce,UX Designer,Đồng Nai,116,27650.31,8.01,Senior,51,"Google Analytics, Python",Medium,Medium,67.1,Growing
2022-03-12,Retail & E-Commerce,Data Analyst - Retail,Hải Phòng,113,7458.25,8.39,Fresher,44,"Google Analytics, SEM",Medium,Low,58.8,Growing
2022-03-12,Retail & E-Commerce,Store Operations Manager,Hà Nội,98,28771.46,6.79,Senior,41,"Inventory Management, Supply Chain, CRM, Customer Journey, SQL",High,High,67.9,Growing
2022-03-14,Retail & E-Commerce,Customer Success Manager,Hải Phòng,115,9363.31,7.35,Fresher,60,"Customer Journey, Tableau, Excel, Supply Chain, SEO, Shopify",High,High,75.7,Growing
2022-03-15,Retail & E-Commerce,Store Operations Manager,Hải Phòng,106,12145.56,8.03,Junior,39,"SEM, A/B Testing, Shopify",Medium,High,65.8,Growing
2022-03-16,Retail & E-Commerce,E-Commerce Manager,TP.HCM,105,14453.8,7.23,Junior,35,"CRM, Google Analytics, Shopify",Medium,Low,68.3,Declining
2022-03-18,Retail & E-Commerce,Digital Marketing Specialist,TP.HCM,101,11252.94,7.8,Junior,22,"SEM, Shopify, Excel, Email Marketing, Tableau",Low,Medium,70.6,Growing
2022-03-19,Retail & E-Commerce,Growth Hacker,Bình Dương,105,11416.99,8.41,Fresher,21,"CRM, Inventory Management",Medium,Medium,72.1,Declining
2022-03-20,Retail & E-Commerce,Growth Hacker,Cần Thơ,121,13851.79,4.82,Junior,69,"CRM, Shopify, Email Marketing, SQL, Supply Chain",Medium,High,72.0,Growing
2022-03-21,Retail & E-Commerce,Performance Marketing Manager,Bình Dương,87,5715.04,10.38,Fresher,68,"Tableau, Excel, Inventory Management, Email Marketing, Python, CRM",High,Low,45.9,Growing
2022-03-22,Retail & E-Commerce,Merchandising Analyst,Bình Dương,99,16459.1,10.27,Junior,59,"SEM, Excel",Medium,High,67.0,Declining
2022-03-23,Retail & E-Commerce,UX Designer,Bình Dương,102,11870.4,4.52,Fresher,32,"SQL, CRM",High,High,65.7,Stable
2022-03-25,Retail & E-Commerce,Customer Success Manager,Bình Dương,89,12620.24,7.95,Fresher,28,"Inventory Management, A/B Testing, Excel",High,High,44.4,Growing
2022-03-26,Retail & E-Commerce,CRM Specialist,Hải Phòng,111,14648.58,11.41,Junior,57,"SEO, Shopify",Medium,High,43.6,Declining
2022-03-26,Retail & E-Commerce,Growth Hacker,Hà Nội,103,30688.07,7.2,Senior,37,"Supply Chain, SEO",Low,Medium,58.2,Growing
2022-03-26,Retail & E-Commerce,Store Operations Manager,Đà Nẵng,119,26314.02,10.58,Senior,39,"SEM, Google Analytics, Python, Customer Journey",Medium,High,78.6,Stable
2022-03-26,Retail & E-Commerce,Category Manager,Đà Nẵng,120,18904.07,12.19,Junior,52,"Customer Journey, Inventory Management, SEM, Google Analytics",Medium,High,62.6,Declining
2022-03-28,Retail & E-Commerce,Performance Marketing Manager,Hà Nội,119,28140.81,4.6,Senior,59,"A/B Testing, SEM, Tableau, Shopify, Supply Chain, SQL",Low,High,42.8,Growing
2022-03-30,Retail & E-Commerce,Performance Marketing Manager,Hà Nội,94,26964.78,8.1,Senior,70,"SEO, Supply Chain",Medium,High,41.3,Declining
2022-03-30,Retail & E-Commerce,E-Commerce Manager,Hà Nội,103,30226.85,12.2,Senior,42,"SEO, Facebook Ads, A/B Testing, Supply Chain, Email Marketing, CRM",Medium,High,59.5,Stable
2022-03-30,Retail & E-Commerce,Performance Marketing Manager,Cần Thơ,108,13028.97,3.2,Fresher,61,"Facebook Ads, SQL, Supply Chain",Low,Medium,63.5,Stable
2022-03-31,Retail & E-Commerce,Digital Marketing Specialist,Cần Thơ,100,28440.83,3.29,Senior,54,"Email Marketing, SQL, Inventory Management, Google Analytics",Medium,High,47.5,Stable
2022-03-31,Retail & E-Commerce,UX Designer,TP.HCM,111,3234.18,4.94,Fresher,52,"SQL, Supply Chain",Medium,Medium,68.6,Declining
2022-03-31,Retail & E-Commerce,Data Analyst - Retail,Hà Nội,112,19309.39,3.68,Junior,32,"Google Analytics, CRM, A/B Testing",Medium,Low,71.8,Growing
2022-04-02,Retail & E-Commerce,Data Analyst - Retail,TP.HCM,99,6627.91,5.49,Fresher,46,"SEO, Excel, CRM, Python",Medium,Medium,65.5,Growing
2022-04-06,Retail & E-Commerce,Merchandising Analyst,Cần Thơ,98,26191.3,11.5,Senior,63,"Inventory Management, Python",Medium,Medium,48.3,Growing
2022-04-06,Retail & E-Commerce,Customer Success Manager,Đồng Nai,109,31163.13,9.47,Senior,61,"Tableau, SQL, A/B Testing, Shopify, SEM",High,High,70.2,Growing
2022-04-06,Retail & E-Commerce,Customer Success Manager,Hải Phòng,115,27440.33,9.23,Senior,23,"Customer Journey, Inventory Management, Facebook Ads, Python, Google Analytics, A/B Testing",Low,Low,75.7,Growing
2022-04-07,Retail & E-Commerce,Merchandising Analyst,Hà Nội,113,14423.6,8.58,Junior,38,"Tableau, Inventory Management, Customer Journey, Python, Supply Chain, Shopify",High,Low,54.5,Growing
2022-04-08,Retail & E-Commerce,Performance Marketing Manager,TP.HCM,115,27115.32,8.76,Senior,56,"Tableau, SQL, Google Analytics, Customer Journey, Python",High,Medium,62.5,Growing
2022-04-08,Retail & E-Commerce,Growth Hacker,Đà Nẵng,97,14961.59,5.45,Junior,61,"SQL, SEO, Excel, A/B Testing",Medium,Medium,59.7,Growing
2022-04-09,Retail & E-Commerce,Performance Marketing Manager,Đồng Nai,100,16860.66,12.63,Junior,30,"SEO, A/B Testing, Google Analytics, Python",High,High,43.6,Growing
2022-04-09,Retail & E-Commerce,CRM Specialist,Cần Thơ,99,16783.22,7.29,Junior,28,"A/B Testing, Python, Google Analytics, SQL, SEM, Inventory Management",High,Medium,57.0,Declining
2022-04-16,Retail & E-Commerce,Customer Success Manager,Bình Dương,108,10324.04,7.29,Fresher,59,"A/B Testing, Customer Journey, CRM, SQL",Medium,Low,43.3,Stable
2022-04-16,Retail & E-Commerce,Performance Marketing Manager,Đà Nẵng,95,18147.9,9.45,Junior,51,"Excel, CRM, Shopify, Supply Chain, SEO",Medium,High,50.0,Stable
2022-04-19,Retail & E-Commerce,Category Manager,Bình Dương,120,28872.49,6.47,Senior,35,"Excel, Supply Chain, A/B Testing, SQL, Customer Journey, Inventory Management",Low,Low,74.2,Declining
2022-04-22,Retail & E-Commerce,E-Commerce Manager,Đồng Nai,105,29171.29,9.34,Senior,20,"A/B Testing, Email Marketing, SQL",Low,High,50.7,Stable
2022-04-23,Retail & E-Commerce,UX Designer,Hải Phòng,104,33838.48,6.34,Senior,69,"A/B Testing, Tableau, Supply Chain",High,Medium,67.6,Growing
2022-04-26,Retail & E-Commerce,Digital Marketing Specialist,Đà Nẵng,106,13601.99,10.38,Junior,57,"SQL, Google Analytics, Shopify, A/B Testing, Supply Chain",Low,High,71.6,Stable
2022-04-29,Retail & E-Commerce,Performance Marketing Manager,Bình Dương,96,16894.47,8.23,Junior,20,"SEM, SQL, Shopify, Tableau",Medium,Low,79.3,Stable
2022-05-02,Retail & E-Commerce,UX Designer,Cần Thơ,134,7848.14,5.93,Fresher,55,"Facebook Ads, Email Marketing, Customer Journey, Inventory Management, SEO",High,Low,55.4,Declining
2022-05-03,Retail & E-Commerce,CRM Specialist,Cần Thơ,93,9989.4,12.66,Fresher,36,"Python, Email Marketing, A/B Testing, Google Analytics",High,High,66.2,Declining
2022-05-05,Retail & E-Commerce,Data Analyst - Retail,Hà Nội,116,13439.81,11.88,Junior,60,"Inventory Management, Shopify, Facebook Ads",Low,Medium,73.8,Growing
2022-05-06,Retail & E-Commerce,UX Designer,Bình Dương,95,7090.57,8.68,Fresher,55,"SQL, Supply Chain, A/B Testing",Medium,High,64.9,Growing
2022-05-07,Retail & E-Commerce,Growth Hacker,Hải Phòng,103,9113.81,12.02,Fresher,46,"Facebook Ads, A/B Testing, Supply Chain",Low,Medium,51.6,Declining
2022-05-08,Retail & E-Commerce,Customer Success Manager,Cần Thơ,110,15323.05,8.77,Junior,60,"A/B Testing, Python, CRM",High,High,72.6,Growing
2022-05-11,Retail & E-Commerce,Customer Success Manager,Cần Thơ,138,13300.84,8.98,Junior,55,"SEM, SQL",Medium,Low,59.3,Stable
2022-05-18,Retail & E-Commerce,Digital Marketing Specialist,Đà Nẵng,94,8518.26,9.43,Fresher,22,"Email Marketing, A/B Testing, Tableau",Medium,High,50.4,Growing
2022-05-18,Retail & E-Commerce,Growth Hacker,Hải Phòng,118,9840.01,4.69,Fresher,51,"Tableau, Customer Journey, SQL, Email Marketing, Python, CRM",Medium,High,55.3,Declining
2022-05-19,Retail & E-Commerce,Data Analyst - Retail,Hà Nội,123,12990.28,4.54,Junior,45,"Shopify, SEO, Supply Chain",High,Medium,48.5,Stable
2022-05-22,Retail & E-Commerce,Category Manager,Đồng Nai,106,5865.17,11.89,Fresher,53,"Facebook Ads, Customer Journey, Shopify, Python, SEO, Google Analytics",Medium,High,59.9,Declining
2022-05-25,Retail & E-Commerce,E-Commerce Manager,Đồng Nai,102,28515.15,7.67,Senior,58,"Inventory Management, Python",High,Medium,58.9,Growing
2022-05-25,Retail & E-Commerce,Performance Marketing Manager,Đồng Nai,103,18778.55,5.76,Junior,58,"CRM, Facebook Ads, Shopify, Python",Medium,Low,66.4,Stable
2022-05-29,Retail & E-Commerce,UX Designer,Hà Nội,121,19074.67,7.09,Junior,48,"Google Analytics, Inventory Management, Excel, Email Marketing",High,Medium,73.1,Declining
2022-05-31,Retail & E-Commerce,E-Commerce Manager,Đồng Nai,103,5114.89,8.62,Fresher,41,"Shopify, SQL, Google Analytics",Low,High,49.0,Growing
2022-05-31,Retail & E-Commerce,Digital Marketing Specialist,Bình Dương,97,9026.19,9.1,Fresher,47,"SEM, Customer Journey, A/B Testing",Medium,High,48.5,Growing
2022-06-02,Retail & E-Commerce,Data Analyst - Retail,Đồng Nai,117,34151.66,3.06,Senior,49,"Facebook Ads, Python",High,Medium,63.1,Stable
2022-06-03,Retail & E-Commerce,UX Designer,Bình Dương,113,28509.6,9.95,Senior,45,"Supply Chain, Customer Journey, Tableau",Medium,Low,68.0,Stable
2022-06-07,Retail & E-Commerce,Merchandising Analyst,Hải Phòng,108,12096.63,5.73,Fresher,61,"A/B Testing, Email Marketing, Customer Journey",Low,Medium,62.8,Growing
2022-06-07,Retail & E-Commerce,Merchandising Analyst,Cần Thơ,100,7383.48,7.46,Fresher,51,"SEM, Email Marketing",High,Medium,77.8,Stable
2022-06-11,Retail & E-Commerce,UX Designer,Hà Nội,106,27923.1,7.09,Senior,29,"Shopify, Tableau, Excel",High,High,68.4,Growing
2022-06-12,Retail & E-Commerce,Merchandising Analyst,Đà Nẵng,127,16799.19,11.82,Junior,58,"Tableau, Customer Journey",Medium,Low,79.8,Growing
2022-06-13,Retail & E-Commerce,Digital Marketing Specialist,Bình Dương,109,34346.17,10.06,Senior,30,"A/B Testing, Supply Chain, Tableau",High,Medium,58.3,Declining
2022-06-15,Retail & E-Commerce,Customer Success Manager,Hải Phòng,119,5349.41,9.23,Fresher,36,"Excel, Inventory Management, Customer Journey, A/B Testing",High,High,57.0,Growing
2022-06-16,Retail & E-Commerce,Growth Hacker,Hải Phòng,100,19036.63,8.71,Junior,41,"Tableau, SQL, Email Marketing, Inventory Management",Low,High,62.8,Growing
2022-06-17,Retail & E-Commerce,Data Analyst - Retail,Cần Thơ,111,4616.8,6.19,Fresher,56,"Shopify, Excel, Python, A/B Testing, Supply Chain, Email Marketing",High,Low,73.6,Growing
2022-06-21,Retail & E-Commerce,Digital Marketing Specialist,TP.HCM,113,17374.91,7.81,Junior,34,"A/B Testing, Supply Chain, SEO",Low,Low,63.9,Stable
2022-06-22,Retail & E-Commerce,Growth Hacker,Đồng Nai,99,15661.47,3.13,Junior,37,"A/B Testing, Customer Journey, Shopify",Low,Medium,56.3,Declining
2022-06-30,Retail & E-Commerce,Category Manager,Cần Thơ,117,27931.15,8.82,Senior,50,"CRM, A/B Testing, Supply Chain",High,Medium,54.2,Stable
2022-07-01,Retail & E-Commerce,Merchandising Analyst,Đồng Nai,119,10283.65,3.91,Fresher,26,"Python, Shopify, SEO, Tableau",Medium,Low,48.0,Stable
2022-07-02,Retail & E-Commerce,Data Analyst - Retail,Cần Thơ,107,32335.26,3.49,Senior,66,"SEO, Facebook Ads",Low,Medium,42.6,Growing
2022-07-05,Retail & E-Commerce,Merchandising Analyst,Bình Dương,110,13660.84,11.94,Junior,22,"Customer Journey, Shopify, Python",Medium,High,49.7,Declining
2022-07-05,Retail & E-Commerce,Customer Success Manager,Đồng Nai,116,17710.16,6.9,Junior,40,"SEM, Google Analytics, Inventory Management, Tableau",Low,High,70.1,Stable
2022-07-06,Retail & E-Commerce,UX Designer,Hải Phòng,114,17886.41,11.69,Junior,67,"Supply Chain, SQL, Excel, Email Marketing, Facebook Ads, Shopify",Medium,Low,40.6,Growing
2022-07-06,Retail & E-Commerce,Growth Hacker,TP.HCM,118,29964.62,8.25,Senior,34,"A/B Testing, Customer Journey, CRM, Inventory Management",High,Medium,61.3,Growing
2022-07-08,Retail & E-Commerce,Category Manager,Cần Thơ,114,7930.75,9.3,Fresher,70,"Inventory Management, Shopify, Google Analytics",High,Medium,68.5,Growing
2022-07-08,Retail & E-Commerce,UX Designer,Bình Dương,123,6411.88,12.36,Fresher,27,"Email Marketing, SEO, Tableau, Inventory Management, Facebook Ads",Medium,High,64.1,Stable
2022-07-12,Retail & E-Commerce,Merchandising Analyst,TP.HCM,104,7921.13,8.74,Fresher,37,"SQL, Google Analytics, SEM, Python, Excel",Medium,Low,78.3,Growing
2022-07-13,Retail & E-Commerce,UX Designer,Bình Dương,100,30557.77,8.33,Senior,35,"Email Marketing, Google Analytics, Supply Chain",Low,High,40.1,Declining
2022-07-15,Retail & E-Commerce,CRM Specialist,Bình Dương,104,4634.71,9.58,Fresher,53,"Excel, SEO, Inventory Management, SEM, Supply Chain, SQL",Medium,High,66.2,Stable
2022-07-15,Retail & E-Commerce,Digital Marketing Specialist,Bình Dương,120,7328.46,3.64,Fresher,27,"Customer Journey, Supply Chain, Tableau, SEO, Inventory Management, SEM",Medium,High,58.4,Declining
2022-07-17,Retail & E-Commerce,Customer Success Manager,Cần Thơ,120,13537.62,4.7,Junior,60,"SEO, CRM, SEM, Email Marketing",Low,High,52.8,Stable
2022-07-18,Retail & E-Commerce,Merchandising Analyst,Bình Dương,107,6663.84,10.52,Fresher,62,"Inventory Management, Email Marketing, Customer Journey, Supply Chain, Shopify, Google Analytics",High,Low,77.5,Declining
2022-07-20,Retail & E-Commerce,Performance Marketing Manager,Đồng Nai,106,22114.59,9.61,Junior,60,"Facebook Ads, SEO, Tableau",Low,Medium,77.0,Growing
2022-07-22,Retail & E-Commerce,Data Analyst - Retail,Cần Thơ,115,11110.66,10.48,Junior,21,"A/B Testing, Customer Journey, SQL",Medium,Medium,68.1,Growing
2022-07-23,Retail & E-Commerce,Store Operations Manager,Hà Nội,103,10104.96,5.81,Fresher,52,"SEO, Shopify, Inventory Management, Facebook Ads, Google Analytics",Low,Low,41.1,Declining
2022-07-29,Retail & E-Commerce,Merchandising Analyst,TP.HCM,96,26975.92,4.02,Senior,66,"SEM, Tableau, SQL",Medium,Medium,42.5,Declining
2022-07-30,Retail & E-Commerce,Performance Marketing Manager,TP.HCM,103,7419.24,3.97,Fresher,39,"Supply Chain, Excel, Google Analytics, Tableau, Shopify, A/B Testing",High,High,72.1,Growing
2022-08-03,Retail & E-Commerce,CRM Specialist,Cần Thơ,100,18479.34,4.17,Junior,59,"Python, Customer Journey, Shopify, SEM",Medium,Low,55.1,Growing
2022-08-03,Retail & E-Commerce,Merchandising Analyst,Hà Nội,107,23120.24,12.99,Senior,66,"Facebook Ads, CRM",Medium,High,49.8,Growing
2022-08-06,Retail & E-Commerce,CRM Specialist,Bình Dương,115,13721.4,7.51,Junior,66,"A/B Testing, Python, Customer Journey, Inventory Management, Tableau, Email Marketing",Medium,Medium,58.3,Stable
2022-08-11,Retail & E-Commerce,E-Commerce Manager,Hải Phòng,102,16799.62,3.87,Junior,27,"Supply Chain, SEM, Customer Journey, Google Analytics, Tableau",High,Medium,72.9,Stable
2022-08-11,Retail & E-Commerce,Performance Marketing Manager,TP.HCM,115,3668.35,11.29,Fresher,20,"Excel, Python, Tableau, A/B Testing, CRM",High,High,47.5,Stable
2022-08-11,Retail & E-Commerce,Growth Hacker,Hải Phòng,127,29335.11,3.34,Senior,25,"Google Analytics, Tableau, Supply Chain, SQL, SEM, Shopify",Medium,High,64.3,Growing
2022-08-14,Retail & E-Commerce,UX Designer,Bình Dương,133,13339.14,11.61,Junior,69,"A/B Testing, Email Marketing, CRM, Excel",High,Low,73.0,Stable
2022-08-17,Retail & E-Commerce,Store Operations Manager,Hải Phòng,108,13782.21,8.47,Junior,31,"Google Analytics, A/B Testing, Supply Chain, Customer Journey, Shopify",High,High,65.6,Declining
2022-08-20,Retail & E-Commerce,Growth Hacker,Bình Dương,130,12283.02,8.98,Junior,21,"Facebook Ads, SEM, SQL, Excel",High,High,75.0,Stable
2022-08-24,Retail & E-Commerce,CRM Specialist,Cần Thơ,108,9980.9,8.06,Junior,21,"Inventory Management, Email Marketing, Shopify, Python, Excel",High,Medium,47.1,Growing
2022-08-25,Retail & E-Commerce,CRM Specialist,TP.HCM,118,25951.94,12.12,Senior,63,"A/B Testing, Google Analytics, Shopify, Python, CRM, SQL",Medium,High,52.2,Declining
2022-08-28,Retail & E-Commerce,Digital Marketing Specialist,Hà Nội,115,19573.95,12.71,Junior,68,"SEM, Excel",High,Medium,66.3,Growing
2022-08-29,Retail & E-Commerce,UX Designer,Đà Nẵng,110,12561.32,12.63,Junior,20,"Customer Journey, Tableau",Low,High,49.2,Growing
2022-08-31,Retail & E-Commerce,Digital Marketing Specialist,TP.HCM,115,6634.03,5.71,Fresher,31,"Excel, Supply Chain, Python, Email Marketing",High,High,54.2,Growing
2022-08-31,Retail & E-Commerce,CRM Specialist,TP.HCM,110,13287.15,7.55,Junior,36,"Shopify, Excel, Python, Tableau",Medium,Medium,41.1,Growing
2022-09-01,Retail & E-Commerce,Growth Hacker,TP.HCM,126,25961.32,12.21,Senior,45,"Email Marketing, A/B Testing, Shopify, Python, Supply Chain, Google Analytics",High,Medium,48.7,Declining
